#           k/h    P           
    0.10000E-03    0.56082E+02
    0.10202E-03    0.57169E+02
    0.10408E-03    0.58277E+02
    0.10618E-03    0.59406E+02
    0.10833E-03    0.60557E+02
    0.11052E-03    0.61730E+02
    0.11275E-03    0.62926E+02
    0.11503E-03    0.64145E+02
    0.11735E-03    0.65388E+02
    0.11972E-03    0.66655E+02
    0.12214E-03    0.67946E+02
    0.12461E-03    0.69262E+02
    0.12712E-03    0.70604E+02
    0.12969E-03    0.71972E+02
    0.13231E-03    0.73366E+02
    0.13499E-03    0.74787E+02
    0.13771E-03    0.76235E+02
    0.14049E-03    0.77712E+02
    0.14333E-03    0.79217E+02
    0.14623E-03    0.80751E+02
    0.14918E-03    0.82315E+02
    0.15220E-03    0.83909E+02
    0.15527E-03    0.85534E+02
    0.15841E-03    0.87190E+02
    0.16161E-03    0.88879E+02
    0.16487E-03    0.90599E+02
    0.16820E-03    0.92353E+02
    0.17160E-03    0.94141E+02
    0.17507E-03    0.95964E+02
    0.17860E-03    0.97822E+02
    0.18221E-03    0.99715E+02
    0.18589E-03    0.10165E+03
    0.18965E-03    0.10361E+03
    0.19348E-03    0.10562E+03
    0.19739E-03    0.10766E+03
    0.20138E-03    0.10974E+03
    0.20544E-03    0.11187E+03
    0.20959E-03    0.11403E+03
    0.21383E-03    0.11624E+03
    0.21815E-03    0.11849E+03
    0.22255E-03    0.12078E+03
    0.22705E-03    0.12312E+03
    0.23164E-03    0.12550E+03
    0.23632E-03    0.12792E+03
    0.24109E-03    0.13040E+03
    0.24596E-03    0.13292E+03
    0.25093E-03    0.13549E+03
    0.25600E-03    0.13811E+03
    0.26117E-03    0.14077E+03
    0.26645E-03    0.14349E+03
    0.27183E-03    0.14627E+03
    0.27732E-03    0.14909E+03
    0.28292E-03    0.15197E+03
    0.28864E-03    0.15491E+03
    0.29447E-03    0.15790E+03
    0.30042E-03    0.16095E+03
    0.30649E-03    0.16406E+03
    0.31268E-03    0.16722E+03
    0.31899E-03    0.17045E+03
    0.32544E-03    0.17374E+03
    0.33201E-03    0.17709E+03
    0.33872E-03    0.18051E+03
    0.34556E-03    0.18399E+03
    0.35254E-03    0.18753E+03
